mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
17.6,8,302.0,129.0,3725.0,13.4,79,US,FORD LTD LANDAU
16.5,8,351.0,138.0,3955.0,13.2,79,US,MERCURY GRAND MARQUIS
18.2,8,318.0,135.0,3830.0,15.2,79,US,DODGE ST. REGIS
16.9,8,350.0,155.0,4360.0,14.9,79,US,BUICK ESTATE WAGON (SW)
15.5,8,351.0,142.0,4054.0,14.3,79,US,FORD COUNTRY SQUIRE (SW)
19.2,8,267.0,125.0,3605.0,15.0,79,US,CHEVROLET MALIBU CLASSIC (SW)
18.5,8,360.0,150.0,3940.0,13.0,79,US,CHRYSLER LEBARON TOWN @ COUNTRY (SW)
31.9,4,89.0,71.00,1925.0,14.0,79,EU,VW RABBIT CUSTOM
34.1,4,86.0,65.00,1975.0,15.2,79,JP,MAXDA GLC DELUXE
35.7,4,98.0,80.00,1915.0,14.4,79,US,DODGE COLT HATCHBACK CUSTOM
27.4,4,121.0,80.00,2670.0,15.0,79,US,AMC SPIRIT DL
25.4,5,183.0,77.00,3530.0,20.1,79,EU,MERCEDES BENZ 300D
23.0,8,350.0,125.0,3900.0,17.4,79,US,CADILLAC ELDORADO
27.2,4,141.0,71.00,3190.0,24.8,79,EU,PEUGEOT 504
23.9,8,260.0,90.00,3420.0,22.2,79,US,OLDSMOBILE CUTLASS SALON BROUGHAM
34.2,4,105.0,70.00,2200.0,13.2,79,US,PLYMOUTH HORIZON
34.5,4,105.0,70.00,2150.0,14.9,79,US,PLYMOUTH HORIZON TC3
31.8,4,85.0,65.00,2020.0,19.2,79,JP,DATSUN 210
37.3,4,91.0,69.00,2130.0,14.7,79,EU,FIAT STRADA CUSTOM
28.4,4,151.0,90.00,2670.0,16.0,79,US,BUICK SKYLARK LIMITED
28.8,6,173.0,115.0,2595.0,11.3,79,US,CHEVROLET CITATION
26.8,6,173.0,115.0,2700.0,12.9,79,US,OLDSMOBILE OMEGA BROUGHAM
33.5,4,151.0,90.00,2556.0,13.2,79,US,PONTIAC PHOENIX
41.5,4,98.0,76.00,2144.0,14.7,80,EU,VW RABBIT
38.1,4,89.0,60.00,1968.0,18.8,80,JP,TOYOTA COROLLA TERCEL
32.1,4,98.0,70.00,2120.0,15.5,80,US,CHEVROLET CHEVETTE
37.2,4,86.0,65.00,2019.0,16.4,80,JP,DATSUN 310
28.0,4,151.0,90.00,2678.0,16.5,80,US,CHEVROLET CITATION
26.4,4,140.0,88.00,2870.0,18.1,80,US,FORD FAIRMONT
24.3,4,151.0,90.00,3003.0,20.1,80,US,AMC CONCORD
19.1,6,225.0,90.00,3381.0,18.7,80,US,DODGE ASPEN
34.3,4,97.0,78.00,2188.0,15.8,80,EU,AUDI 4000
29.8,4,134.0,90.00,2711.0,15.5,80,JP,TOYOTA CORONA LIFTBACK
31.3,4,120.0,75.00,2542.0,17.5,80,JP,MAZDA 626
37.0,4,119.0,92.00,2434.0,15.0,80,JP,DATSUN 510 HATCHBACK
32.2,4,108.0,75.00,2265.0,15.2,80,JP,TOYOTA COROLLA
46.6,4,86.0,65.00,2110.0,17.9,80,JP,MAZDA GLC
27.9,4,156.0,105.0,2800.0,14.4,80,US,DODGE COLT
40.8,4,85.0,65.00,2110.0,19.2,80,JP,DATSUN 210
44.3,4,90.0,48.00,2085.0,21.7,80,EU,VW RABBIT C (DIESEL)
43.4,4,90.0,48.00,2335.0,23.7,80,EU,VW DASHER (DIESEL)
36.4,5,121.0,67.00,2950.0,19.9,80,EU,AUDI 5000S (DIESEL)
30.0,4,146.0,67.00,3250.0,21.8,80,EU,MERCEDES-BENZ 240D
44.6,4,91.0,67.00,1850.0,13.8,80,JP,HONDA CIVIC 1500 GL
33.8,4,97.0,67.00,2145.0,18.0,80,JP,SUBARU DL
29.8,4,89.0,62.00,1845.0,15.3,80,EU,VOKSWAGEN RABBIT
32.7,6,168.0,132.0,2910.0,11.4,80,JP,DATSUN 280-ZX
23.7,3,70.0,100.0,2420.0,12.5,80,JP,MAZDA RX-7 GS
35.0,4,122.0,88.00,2500.0,15.1,80,EU,TRIUMPH TR7 COUPE
32.4,4,107.0,72.00,2290.0,17.0,80,JP,HONDA ACCORD
27.2,4,135.0,84.00,2490.0,15.7,81,US,PLYMOUTH RELIANT
26.6,4,151.0,84.00,2635.0,16.4,81,US,BUICK SKYLARK
25.8,4,156.0,92.00,2620.0,14.4,81,US,DODGE ARIES WAGON (SW)
23.5,6,173.0,110.0,2725.0,12.6,81,US,CHEVROLET CITATION
30.0,4,135.0,84.00,2385.0,12.9,81,US,PLYMOUTH RELIANT
39.1,4,79.0,58.00,1755.0,16.9,81,JP,TOYOTA STARLET
39.0,4,86.0,64.00,1875.0,16.4,81,US,PLYMOUTH CHAMP
35.1,4,81.0,60.00,1760.0,16.1,81,JP,HONDA CIVIC 1300
